scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
balance_board,100,84,-22,76,1
blush,15,-100,12,1,-25
boxing_gloves,-37,-67,-100,36,-10
citrus_juicer,-93,-100,22,-42,-15
cocktail_kit,-100,5,24,36,-33
convertible,-94,-100,-63,30,-58
cutting_board,33,3,9,-53,-100
dry_bag,76,12,-100,38,-22
dslr_camera,90,17,-72,44,100
easel,18,96,79,80,100
ecg_monitor,-100,-18,-14,-60,-66
fins,-79,100,43,-33,-100
gas_can,22,-100,-68,-52,-5
golf_cart,54,100,-4,33,28
hair_dryer,-4,-37,-3,-100,-55
ham,-20,-100,-58,-17,-48
hoe,8,-5,100,-40,28
hoodie,71,33,-45,-42,-100
hot_glue_sticks,44,22,-100,-28,32
hotel,-100,68,16,17,-31
ice_cream,17,-16,48,100,-87
inversion_table,100,27,-8,-25,22
knee_pads,46,-5,-28,-100,-35
lip_scrub,53,30,67,14,100
loan,48,-100,-4,35,-7
loose_leaf_tea,-85,100,86,-44,90
luggage_tag,100,-5,86,-31,-17
magnetic_calendar,-100,36,-25,-92,-20
milk_storage_bags,46,100,6,7,-11
mold_test,-60,90,100,42,12
nail_file,-100,14,5,-25,10
olive_pitter,9,-100,-24,-41,45
oven,14,100,-28,-18,-26
painters_tape,-75,-5,100,18,-10
pasta_maker,-0,-66,-100,38,36
pilates_ring,-57,-100,94,-48,41
reusable_bag,21,-2,-62,-9,100
rfid_wallet,17,26,100,91,16
salmon,-30,28,29,-58,-100
scrunchie,9,25,-6,100,-12
security_camera,-8,-30,100,20,-24
shower_curtain,64,-100,55,45,71
shuffleboard_table,-6,-99,-100,50,94
snow_blower,-33,72,4,-100,2
sparkling_water,84,13,49,77,-100
stopwatch,-33,100,36,-99,-65
tongs,-37,-4,-70,-100,-42
washi_tape,27,24,52,-26,100
washing_machine,40,-6,-100,-32,-55
wood_burner,-24,-100,-71,-35,-43
